open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp
600.5960593,611.7815116,599.9456965,605.6682622,1886358424,88385761919,145930978.1,-4.22E-05,2024-10-29 23:59:59.999000+00:00
605.6682622,606.0651898,594.4475276,595.7278177,1662620787,86935108301,145930919.7,-4.01E-05,2024-10-30 23:59:59.999000+00:00
595.7278177,596.068823,571.4256411,576.0344871,1810695051,84061209119,145930861.8,-3.97E-05,2024-10-31 23:59:59.999000+00:00
576.0344871,584.7972015,568.1642665,572.7622424,1708220753,82534998464,144099929,-1.254657692,2024-11-01 23:59:59.999000+00:00
572.7622424,576.4204669,562.9451023,568.0367966,1427236241,81854027185,144099867.6,-4.26E-05,2024-11-02 23:59:59.999000+00:00
568.0367966,569.0484345,547.8166324,557.6415979,1584005358,80356053035,144099818.5,-3.41E-05,2024-11-03 23:59:59.999000+00:00
557.6415979,564.1986026,543.908348,552.0710901,1580672363,79553312265,144099761.2,-3.97E-05,2024-11-04 23:59:59.999000+00:00
552.0710901,571.9705074,551.2522705,563.6120837,1513727150,81216339185,144099712.4,-3.39E-05,2024-11-05 23:59:59.999000+00:00
563.6120837,594.85845,563.2849119,591.9952552,2342544855,85306299181,144099633.3,-5.49E-05,2024-11-06 23:59:59.999000+00:00
591.9952552,610.3167059,588.6566378,598.4359374,1970633102,86234356332,144099561.8,-4.96E-05,2024-11-07 23:59:59.999000+00:00
598.4359374,605.9241116,589.548666,597.9484408,1878681588,86164073321,144099503.3,-4.06E-05,2024-11-08 23:59:59.999000+00:00
597.9484408,637.8369803,597.8456882,624.3747015,2739276599,89972047641,144099444.5,-4.08E-05,2024-11-09 23:59:59.999000+00:00
624.3747015,643.6643288,613.5671204,628.3024603,2965668641,90537986817,144099367,-5.38E-05,2024-11-10 23:59:59.999000+00:00
628.3024603,664.1434677,614.0211557,661.8872063,3375111971,95377469811,144099279.9,-6.04E-05,2024-11-11 23:59:59.999000+00:00
661.8871735,666.9176079,613.6227574,627.0038391,3603680244,90350742267,144099185.1,-6.58E-05,2024-11-12 23:59:59.999000+00:00
627.0038391,638.8924449,600.5243646,621.0002839,3294001434,89152414745,143562599,-0.37237274,2024-11-13 23:59:59.999000+00:00
621.0000089,659.531956,612.5340652,621.6801427,3392713356,89583474221,144098979.6,0.373621419,2024-11-14 23:59:59.999000+00:00
621.6801427,628.168885,604.2251398,618.8664376,2547491086,89177963435,144098884.7,-6.59E-05,2024-11-15 23:59:59.999000+00:00
618.9877659,633.487466,617.8651811,622.3731927,2115528251,89683233662,144098805.5,-5.49E-05,2024-11-16 23:59:59.999000+00:00
622.3731927,646.4497413,606.1865135,618.4000603,2452647630,89110665234,144098733.1,-5.03E-05,2024-11-17 23:59:59.999000+00:00
618.4000603,629.0971768,613.0554666,619.4355135,2284855769,89259822623,144098652.2,-5.61E-05,2024-11-18 23:59:59.999000+00:00
619.4355135,621.5847916,606.5615945,615.9874565,2075194269,88708825993,144010766.9,-0.060989699,2024-11-19 23:59:59.999000+00:00
615.9874565,620.466008,600.7662314,606.1174922,2115915285,87287350618,144010611.4,-0.000107973,2024-11-20 23:59:59.999000+00:00
606.1171547,629.3636284,594.5480939,622.8263797,2698689844,89693609615,144010614.4,2.11E-06,2024-11-21 23:59:59.999000+00:00
622.8263797,639.7319449,617.4517772,633.513415,2447537777,91232608314,144010538.9,-5.24E-05,2024-11-22 23:59:59.999000+00:00
633.5135122,679.4188973,632.2477183,651.1972709,3306614137,93779201154,144010433.3,-7.33E-05,2024-11-23 23:59:59.999000+00:00
651.1972709,687.3417078,638.9230256,660.317545,3110188599,95087187234,144002212.2,-0.005708693,2024-11-24 23:59:59.999000+00:00
660.3167272,675.9611268,627.2687764,636.6397027,2787672069,91682645502,144010254.3,0.005584727,2024-11-25 23:59:59.999000+00:00
636.6397027,645.2929715,600.9912629,613.5872928,2637257322,88362791441,144010139.2,-8.00E-05,2024-11-26 23:59:59.999000+00:00
613.5872928,646.8518044,608.6214864,644.9484881,2393610865,92879051283,144010030.3,-7.56E-05,2024-11-27 23:59:59.999000+00:00
644.9484881,663.0220028,641.6170455,654.361621,2597378212,94234599963,144009973.9,-3.91E-05,2024-11-28 23:59:59.999000+00:00
654.3617617,663.3247005,649.1632253,654.8097673,2098059690,94299060823,144009856.8,-8.13E-05,2024-11-29 23:59:59.999000+00:00
654.8097673,676.9244178,648.8924215,654.3291453,2273610461,94229786565,144009765.2,-6.36E-05,2024-11-30 23:59:59.999000+00:00
654.3291453,664.2873072,646.5952554,655.9324908,2055110342,94460623411,144009672.8,-6.41E-05,2024-12-01 23:59:59.999000+00:00
655.9324908,667.423695,629.9060036,647.5944882,2641248821,93274876695,144032845.2,0.016090855,2024-12-02 23:59:59.999000+00:00
647.6991212,744.7792785,625.9749775,737.6965793,4177512806,1.06E+11,144009072.3,-0.016505242,2024-12-03 23:59:59.999000+00:00
737.6965793,793.3505041,723.5433343,739.2527536,5614818578,1.06E+11,144008932.6,-9.70E-05,2024-12-04 23:59:59.999000+00:00
739.2536693,739.9475214,695.9388126,714.3219482,3771629643,1.03E+11,144006494.9,-0.001692763,2024-12-05 23:59:59.999000+00:00
717.9584886,746.1255642,708.4383677,732.0062706,2870854029,1.05E+11,144009695.3,0.002222403,2024-12-06 23:59:59.999000+00:00
732.0062706,761.0914082,730.8739509,750.2726139,2326982728,1.08E+11,144008988.2,-0.000491023,2024-12-07 23:59:59.999000+00:00
751.7319061,757.5943174,729.0514864,743.2956745,2035017685,1.07E+11,144008641.1,-0.000241044,2024-12-08 23:59:59.999000+00:00
743.2956745,743.2956745,662.2440922,689.9243927,3267965774,99355226774,144008862.2,0.000153528,2024-12-09 23:59:59.999000+00:00
689.9243927,704.5600267,650.5972833,676.9829182,3102408468,97491464412,144008750.9,-7.73E-05,2024-12-10 23:59:59.999000+00:00
676.9829182,712.8771204,660.1540359,711.8113923,2276828057,1.03E+11,144008653.3,-6.78E-05,2024-12-11 23:59:59.999000+00:00
711.8113923,725.2216589,700.1067328,705.9442193,2393129125,1.02E+11,144008545.2,-7.51E-05,2024-12-12 23:59:59.999000+00:00
705.9443477,729.6268829,698.5020574,726.254804,2449855057,1.05E+11,144008686,9.78E-05,2024-12-13 23:59:59.999000+00:00
726.254804,731.6613255,705.5389964,715.6956496,1957844883,1.03E+11,144008141,-0.000378445,2024-12-14 23:59:59.999000+00:00
715.6956496,723.0733034,703.1802803,719.1342486,1831103596,1.04E+11,144007882,-0.000179845,2024-12-15 23:59:59.999000+00:00
719.1342486,730.0011515,704.3412928,720.3263374,2276490785,1.04E+11,144008339.9,0.000317949,2024-12-16 23:59:59.999000+00:00
720.3263374,735.757199,713.7290107,716.6824838,2363860623,1.03E+11,144016356.4,0.005566713,2024-12-17 23:59:59.999000+00:00
716.7248865,721.7589262,686.6619043,687.6237781,2702479586,99023410734,144008124.6,-0.005715847,2024-12-18 23:59:59.999000+00:00
687.6243634,704.4877425,651.0365884,666.5693567,2806454484,95991251010,144007896.6,-0.00015833,2024-12-19 23:59:59.999000+00:00
666.5693567,679.4436711,619.5003471,678.0866097,3064285256,97649751581,144007786.3,-7.66E-05,2024-12-20 23:59:59.999000+00:00
678.0866097,692.6363846,652.6074804,663.2795005,2185739949,95515424207,144004788.5,-0.002081669,2024-12-21 23:59:59.999000+00:00
