open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp,Halving
63831.84722,64486.36471,59768.58779,61276.69326,41915247049,1.21E+12,19685138.36,-0.029044391,2024-04-17 23:59:59.999000+00:00,
61275.31541,64125.68642,60833.47922,63512.75349,36006307335,1.25E+12,19685841.09,0.003569893,2024-04-18 23:59:59.999000+00:00,
63510.75032,65481.59705,59651.39026,63843.5685,49920425401,1.26E+12,19689747.5,0.019843719,2024-04-19 23:59:59.999000+00:00,
63851.10004,65442.45895,63172.40391,64994.44007,23097485495,1.28E+12,19687367.23,-0.012088875,2024-04-20 23:59:59.999000+00:00,1
64992.81661,65723.23983,64277.72143,64926.64321,20506644853,1.28E+12,19688312,0.004798872,2024-04-21 23:59:59.999000+00:00,
64935.63317,67233.95704,64548.17858,66837.67609,28282686673,1.32E+12,19689418.49,0.005620051,2024-04-22 23:59:59.999000+00:00,
66839.89451,67199.24195,65864.86766,66407.2718,24310975583,1.31E+12,19689303,-0.000586575,2024-04-23 23:59:59.999000+00:00,
66408.72207,67075.36965,63589.87193,64276.89742,30276655120,1.27E+12,19689209.21,-0.00047636,2024-04-24 23:59:59.999000+00:00,
64275.02102,65275.20752,62783.63327,64481.70664,32155786816,1.27E+12,19691371.63,0.010982768,2024-04-25 23:59:59.999000+00:00,
64485.36993,64789.65751,63322.39964,63755.32133,24139372950,1.26E+12,19689321.33,-0.010412191,2024-04-26 23:59:59.999000+00:00,
63750.99015,63898.36159,62424.72068,63419.1412,19530783039,1.25E+12,19692457.7,0.015929296,2024-04-27 23:59:59.999000+00:00,
63423.51393,64321.48281,62793.59877,63113.23168,17334827993,1.24E+12,19689391.32,-0.015571302,2024-04-28 23:59:59.999000+00:00,
63106.3642,64174.87772,61795.4572,63841.12016,26635912073,1.26E+12,19691403.54,0.010219799,2024-04-29 23:59:59.999000+00:00,
63839.41987,64703.33236,59120.06805,60636.85678,37840840057,1.19E+12,19683489.97,-0.040187951,2024-04-30 23:59:59.999000+00:00,
